Le Chambon-Feugerolles: 4.3247696; 45.3966546!
Romainville: 2.4358326; 48.8852958!
Gien: 2.6313889; 47.6918575!
Issoudun: 1.9888033; 46.9477963!
Hénin-Beaumont: 2.96052; 50.4175!
Haguenau: 7.7885978; 48.8172236!
Auray: -2.9867031; 47.6660041!
Landerneau: -4.2555665; 48.4515037!
Bischheim: 7.7552008; 48.6121999!
Marignane: 5.2147145; 43.4162023!
Amilly: 2.7673117; 47.9778853!
Saint-Claude: 5.864025; 46.3874493!
Plouzané: -4.6205517; 48.3814696!
Boulogne-sur-Mer: 1.6133049; 50.7251842!
Voiron: 5.5851632; 45.3698807!
Vitrolles: 5.2482643; 43.4593696!
La Trinité: 7.34061; 43.7453!
Blois: 1.3337639; 47.5876861!
Royan: -1.0287636; 45.6245332!
Francheville: 4.7647304; 45.735748!
Saint-Denis: 2.3580232; 48.935773!
Jouy-le-Moutier: 2.03194; 49.0116!
Gagny: 2.5321482; 48.8842139!
Crépy-en-Valois: 2.8861669; 49.2320959!
Lys-lez-Lannoy: 3.21621; 50.6713!
Trappes: 1.9988356; 48.7760957!
Plérin: -2.7695752; 48.5348817!
Bourges: 2.398932; 47.0805693!
Marly: 3.5514; 50.3449!
Choisy-le-Roi: 2.4170727; 48.7644619!
Romorantin-Lanthenay: 1.7449838; 47.358297!
Gardanne: 5.4692947; 43.4547814!
Vanves: 2.289259; 48.8212037!
Villejuif: 2.35845; 48.7927!
Saint-Vallier: 4.36177; 46.6446!
Guebwiller: 7.2113271; 47.9094629!
Digoin: 4.02614; 46.488!
Ollioules: 5.8483538; 43.1397205!
Olivet: 1.9015292; 47.8651681!
Somain: 3.27595; 50.36!
Wattrelos: 3.2222626; 50.7008634!
Annecy: 6.1287609; 45.8995589!
Valenton: 2.4634117; 48.7486678!
Laxou: 6.143701; 48.6849157!
La Chapelle-sur-Erdre: -1.5518632; 47.2996846!
Elbeuf: 1.0108998; 49.2871086!
Versailles: 2.1266886; 48.8035403!
Villeneuve-Saint-Georges: 2.4491931; 48.7284955!
Brunoy: 2.5052; 48.6955!
Sens: 3.2838015; 48.1965513!
Maisons-Laffitte: 2.15444; 48.9529!
Saint-Herblain: -1.6346964; 47.2233007!
Cagnes-sur-Mer: 7.1513834; 43.6612012!
Saint-Louis: 7.5612053; 47.5856946!
Compiègne: 2.8262028; 49.4176033!
L'Union: 1.4849315; 43.6517052!
Cannes: 7.0126946; 43.5512076!
Riom: 3.1136667; 45.893068!
Le Petit-Quevilly: 1.06208; 49.4238!
